,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal
2018-08-31,11692.2767584,90244.33364869,0.07082321035533723,0.03664305967029757
2018-09-30,11679.602192029999,101923.93584071999,0.06924013432632559,0.05716426615713832
2018-10-31,11888.72138117,113812.65722189,0.06866473151013808,0.06375700671183382
2018-11-30,11613.834180340002,125426.49140222999,0.06383386078042452,0.018705701624724735
2018-12-31,12086.512804790002,137513.00420701999,0.06166242595940985,0.039641039397886546
2019-01-31,12492.273852139999,12492.273852139999,0.0478478169225518,0.0478478169225518
2019-02-28,11379.35227939,23871.62613153,0.054579038675859115,0.06206887488597945
2019-03-31,11413.24223165,35284.86836318,0.06018217160656758,0.07209619684828938
2019-04-30,12118.57675542,47403.4451186,0.05593352804492291,0.04375471025362465
2019-05-31,11831.93526574,59235.38038434,0.05595214491966538,0.0560267381186057
2019-06-30,11483.86032032,70719.24070466,0.05599800249558595,0.0562346056495171
2019-07-31,11864.96252903,82584.20323369,0.051330881749303,0.02434701009471385
2019-08-31,11875.38136637,94459.58460006,0.046709314379553835,0.015660303955639332
2019-09-30,12237.54248407,106697.12708413,0.04683091566311992,0.047770487630197866
2019-10-31,12614.06753511,119311.19461924,0.04831217837775292,0.06101128377765175
2019-11-30,12733.54955979,132044.74417903,0.05276598829170753,0.0964122065170745
2019-12-31,14602.35869324,146647.10287227,0.06642352639972171,0.20815316453004895
2020-01-31,13082.640609939997,13082.640609939997,0.04725855074805829,0.04725855074805829
2020-02-29,11927.61673893,25010.25734887,0.04769810029137811,0.04818063858810362
2020-03-31,12214.58091586,37224.83826473,0.05498022216158738,0.07021130963012534
2020-04-30,10549.614101599998,47774.45236633,0.007826588274370438,-0.129467567478028
